filingtype,page,link,cmte,office,period,year,draft
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_03_168_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",July 31st Report,2003,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_03_168_1672_A_1_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",July 31st Report,2003,Amendment 1
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_03_168_1685_O_0_1.pdf,Evans 2004,"Evans, Jack",July 31st Report,2003,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_03_168_1685_A_1_1.pdf,Evans 2004,"Evans, Jack",July 31st Report,2003,Amendment 1
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_03_168_1450_O_0_1.pdf,Fenty 2004 Re-Election Committee,"Fenty, Adrian",July 31st Report,2003,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_03_168_426_O_0_1.pdf,Carol Schwartz for Mayor Committee,"Schwartz, Carol",July 31st Report,2003,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_03_160_20_O_0_1.pdf,Committe to Elect Rev. Willie F. Wilson,"Wilson, Willie",January 31st Report,2003,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_182_3_O_0_1.pdf,Committee to Re-Elect Sandy Allen,"Allen, Sandra",Termination Report,2004,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_166_3_O_0_1.pdf,Committee to Re-Elect Sandy Allen,"Allen, Sandra",June 10th Report,2004,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_160_3_O_0_1.pdf,Committee to Re-Elect Sandy Allen,"Allen, Sandra",January 31st Report,2004,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_177_2260_O_0_1.pdf,Committee to Re-Elect Sandy Allen 04,"Allen, Sandra",8 Day Pre Primary Election report,2004,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2260_O_0_1.pdf,Committee to Re-Elect Sandy Allen 04,"Allen, Sandra",8 Day Pre General Election Report,2004,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2260_O_0_1.pdf,Committee to Re-Elect Sandy Allen 04,"Allen, Sandra",August 10th Report,2004,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2260_O_0_1.pdf,Committee to Re-Elect Sandy Allen 04,"Allen, Sandra",October 10th Report,2004,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2260_O_0_1.pdf,Committee to Re-Elect Sandy Allen 04,"Allen, Sandra",December 10th Report,2004,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2481_O_0_1.pdf,Hugh Allen for School Board,"Allen, Hugh",December 10th Report,2004,Original
campaign,1,/scan_image/EFS_PDFFiles_prod/CAN_04_182_2481_O_0_1.pdf,Hugh Allen for School Board,"Allen, Hugh",Termination Report,2004,Original
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_247_2481_O_0_1.pdf,Hugh Allen for School Board,"Allen, Hugh",24 Hour Report (General),2004,Original
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2481_O_0_1.pdf,Hugh Allen for School Board,"Allen, Hugh",8 Day Pre General Election Report,2004,Original
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2481_O_0_1.pdf,Hugh Allen for School Board,"Allen, Hugh",October 10th Report,2004,Original
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2481_O_0_1.pdf,Hugh Allen for School Board,"Allen, Hugh",August 10th Report,2004,Original
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2385_O_0_1.pdf,Barry for Ward 8 Council,"Barry, Marion",August 10th Report,2004,Original
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2385_A_1_1.pdf,Barry for Ward 8 Council,"Barry, Marion",8 Day Pre General Election Report,2004,Amendment 1
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_179_2385_O_0_1.pdf,Barry for Ward 8 Council,"Barry, Marion",8 Day Pre General Election Report,2004,Original
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_246_2385_O_0_1.pdf,Barry for Ward 8 Council,"Barry, Marion",24 HOUR REPORT (Primary),2004,Original
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_177_2385_A_1_1.pdf,Barry for Ward 8 Council,"Barry, Marion",8 Day Pre Primary Election report,2004,Amendment 1
campaign,2,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2385_O_0_1.pdf,Barry for Ward 8 Council,"Barry, Marion",October 10th Report,2004,Original
campaign,3,/scan_image/EFS_PDFFiles_prod/CAN_04_173_2385_A_1_1.pdf,Barry for Ward 8 Council,"Barry, Marion",October 10th Report,2004,Amendment 1
campaign,3,/scan_image/EFS_PDFFiles_prod/CAN_04_170_2385_A_1_1.pdf,Barry for Ward 8 Council,"Barry, Marion",August 10th Report,2004,Amendment 1
campaign,3,/pdf_files/EFS_generated/CAN_04_179_2385_A_2_1.pdf,Barry for Ward 8 Council,"Barry, Marion",8 Day Pre General Election Report,2004,Amendment 2
campaign,3,/scan_image/EFS_PDFFiles_prod/CAN_04_175_2385_O_0_1.pdf,Barry for Ward 8 Council,"Barry, Marion",December 10th Report,2004,Original
campaign,3,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2253_A_1_1.pdf,Democratic Comm. to Elect Alvin Bethea,"Bethea, Alvin",June 10th Report,2004,Amendment 1
campaign,3,/scan_image/EFS_PDFFiles_prod/CAN_04_166_2253_O_0_1.pdf,Democratic Comm. to Elect Alvin Bethea,"Bethea, Alvin",June 10th Report,2004,Original
campaign,3,/scan_image/EFS_PDFFiles_prod/CAN_04_168_30_O_0_1.pdf,Committee to Elect  Renee Bowser to Council Ward 4,"Bowser, Renee",July 31st Report,2004,Original
campaign,3,/scan_image/EFS_PDFFiles_prod/CAN_04_177_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",8 Day Pre Primary Election report,2004,Original
campaign,3,/scan_image/EFS_PDFFiles_prod/CAN_04_175_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",December 10th Report,2004,Original
campaign,3,/scan_image/EFS_PDFFiles_prod/CAN_04_164_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",March 10th Report,2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_246_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",24 HOUR REPORT (Primary),2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_166_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",June 10th Report,2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_173_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",October 10th Report,2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_170_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",August 10th Report,2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_179_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",8 Day Pre General Election Report,2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_160_1572_O_0_1.pdf,Brazil 2004 Committee,"Brazil, Harold",January 31st Report,2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_177_1931_O_0_1.pdf,Committee to Elect Sam Brooks,"Brooks, Sam",8 Day Pre Primary Election report,2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_164_1931_O_0_1.pdf,Committee to Elect Sam Brooks,"Brooks, Sam",March 10th Report,2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_175_1931_O_0_1.pdf,Committee to Elect Sam Brooks,"Brooks, Sam",December 10th Report,2004,Original
campaign,4,/scan_image/EFS_PDFFiles_prod/CAN_04_173_1931_O_0_1.pdf,Committee to Elect Sam Brooks,"Brooks, Sam",October 10th Report,2004,Original
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_166_1931_O_0_1.pdf,Committee to Elect Sam Brooks,"Brooks, Sam",June 10th Report,2004,Original
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_160_1931_O_0_1.pdf,Committee to Elect Sam Brooks,"Brooks, Sam",January 31st Report,2004,Original
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_177_1672_O_0_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",8 Day Pre Primary Election report,2004,Original
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_170_1672_O_0_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",August 10th Report,2004,Original
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_164_1672_O_0_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",March 10th Report,2004,Original
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_179_1672_O_0_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",8 Day Pre General Election Report,2004,Original
campaign,5,/scan_image/EFS_PDFFiles_prod/CAN_04_168_1672_A_1_1.pdf,Committee to Elect Kwame R Brown,"Brown, Kwame",July 31st Report,2004,Amendment 1
